Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Score
PHI,Bryce Harper,55.379999999999995,-1.568627450980383,-0.38834951456311795,8.986784140969162,3.1304347826086887,142.0,1.236,256.5
SEA,J. Rodriguez,-23.21,11.764705882352942,19.805825242718445,13.92070484581498,7.130434782608692,63.0,1.456,256.3
HOU,Yordan Alvarez,68.66,14.90196078431373,2.330097087378632,14.977973568281943,1.2173913043478175,97.0,1.17,232.9
BAL,G. Henderson,-23.21,3.921568627450995,20.970873786407765,-1.4096916299559483,-1.217391304347827,71.0,1.418,210.4
HOU,Yainer Diaz,37.489999999999995,15.686274509803926,15.533980582524265,14.096916299559474,-3.826086956521743,83.0,1.237,200.4
PHI,Alec Bohm,58.96,10.196078431372548,5.0485436893203826,25.903083700440533,-1.3913043478260978,81.0,1.111,199.7
LAD,F. Freeman,64.12,11.764705882352942,22.135922330097078,-0.3524229074889773,14.782608695652158,52.0,1.171,192.6
TEX,Corey Seager,48.03000000000001,4.705882352941181,2.330097087378632,-8.986784140969162,12.173913043478263,58.0,1.56,181.4
PHI,Trea Turner,43.67999999999999,6.274509803921564,4.660194174757276,13.392070484581502,-1.2173913043478368,63.0,1.3840000000000001,179.6
DET,Andy Ibanez,11.169999999999998,9.411764705882362,12.815533980582527,8.105726872246693,-1.565217391304359,74.0,1.478,168.4
MIL,Tyrone Taylor,-23.21,7.058823529411772,10.097087378640778,6.519823788546251,7.478260869565215,72.0,1.389,159.9
HOU,Jose Altuve,37.019999999999996,14.117647058823534,13.980582524271847,19.91189427312776,-10.26086956521739,69.0,1.076,154.7
SF,L. Wade Jr,33.209999999999994,9.411764705882362,5.825242718446598,0.3524229074889871,9.73913043478261,50.0,1.422,154.3
SF,Thairo Estrada,32.11,14.90196078431373,14.757281553398052,12.33480176211454,9.73913043478261,59.0,1.077,153.8
HOU,Kyle Tucker,54.51,16.470588235294123,-9.320388349514563,17.621145374449345,-2.086956521739142,65.0,1.044,148.5
HOU,Alex Bregman,39.73,12.549019607843139,3.883495145631061,20.088105726872257,0.3478260869565124,71.0,0.981,144.8
HOU,Mauricio Dubon,9.6,13.333333333333336,26.019417475728147,20.440528634361243,2.086956521739123,5.0,1.889,144.5
SF,Wilmer Flores,42.279999999999994,18.039215686274517,4.660194174757276,11.806167400881058,10.956521739130435,67.0,0.925,143.1
PHI,Bryson Stott,45.739999999999995,3.1372549019607874,4.271844660194168,23.25991189427314,-1.73913043478262,100.0,0.8130000000000001,142.0
LAD,Mookie Betts,70.56000000000002,6.274509803921564,-1.1650485436893214,-3.3480176211453676,10.08695652173913,52.0,1.0350000000000001,139.1
LAA,Luis Rengifo,-23.21,4.705882352941181,2.330097087378632,8.105726872246693,-4.521739130434787,79.0,0.916,138.0
LAA,Taylor Ward,-23.21,8.627450980392165,-8.543689320388347,2.8193832599118966,7.999999999999997,70.0,1.026,135.4
