Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Score
MIA,Luis Arraez,59.32,10.980392156862745,15.533980582524277,15.330396475770932,13.217391304347828,99.0,0.845,180.3
MIN,Max Kepler,29.820000000000004,7.8431372549019684,-18.252427184466026,14.801762114537448,4.347826086956515,84.0,1.124,137.8
MIA,B. De La Cruz,50.50999999999999,4.705882352941181,15.14563106796117,-4.757709251101316,11.652173913043478,54.0,1.064,131.3
SF,M. Yastrzemski,14.94,3.9215686274509842,-14.757281553398062,-2.6431718061673934,11.478260869565219,51.0,2.011,128.6
TEX,Corey Seager,20.68,4.705882352941181,11.262135922330097,-10.220264317180616,12.869565217391306,53.0,1.314,121.3
PIT,Ke'Bryan Hayes,13.54,5.490196078431378,-5.43689320388349,5.638766519823784,1.9130434782608614,57.0,1.05,110.6
BAL,G. Henderson,13.54,3.9215686274509842,14.757281553398062,-5.110132158590303,-2.7826086956521765,50.0,1.32,103.3
TEX,Marcus Semien,11.279999999999998,11.764705882352942,14.757281553398052,-3.171806167400874,5.3913043478260825,23.0,1.619,102.0
PIT,Bryan Reynolds,13.54,2.3529411764705905,-18.640776699029132,1.233480176211455,3.1304347826086887,57.0,1.252,95.8
NYY,Gleyber Torres,25.979999999999997,7.8431372549019684,12.427184466019419,1.0572687224669612,1.7391304347826004,46.0,0.991,94.2
MIA,Joey Wendle,26.4,1.5686274509803937,15.922330097087372,-0.5286343612334709,-4.6956521739130475,39.0,1.187,92.2
MIN,Royce Lewis,21.900000000000002,3.921568627450995,0.7766990291262036,5.991189427312781,-0.17391304347826103,63.0,0.9490000000000001,90.5
CHW,Andrew Vaughn,13.54,-0.784313725490186,17.475728155339812,-4.933920704845811,4.521739130434777,50.0,1.2469999999999999,88.1
DET,K. Carpenter,13.54,10.980392156862745,11.262135922330097,-4.757709251101316,7.130434782608692,56.0,0.957,85.7
MIA,Jorge Soler,31.160000000000004,3.9215686274509842,1.1650485436893108,-6.519823788546251,0.17391304347826103,54.0,0.648,83.9
MIA,Yuli Gurriel,40.959999999999994,3.9215686274509842,10.097087378640778,4.405286343612339,-5.043478260869559,34.0,0.937,82.8
DET,Riley Greene,13.54,7.843137254901959,-10.097087378640786,-4.757709251101316,11.130434782608695,62.0,0.31700000000000006,82.4
SF,Wilmer Flores,13.54,7.8431372549019684,-0.7766990291262251,9.515418502202643,8.34782608695652,43.0,1.006,82.0
WAS,Keibert Ruiz,-1.6999999999999984,1.5686274509804046,21.35922330097087,4.757709251101316,9.565217391304346,44.0,,79.6
TB,Yandy Diaz,19.09,-1.568627450980383,-1.941747572815536,-0.17621145374449354,1.5652173913043397,38.0,1.404,77.2
SF,Joc Pederson,4.17,7.058823529411772,-2.718446601941761,7.048458149779733,5.913043478260866,48.0,1.089,75.7
CHW,Eloy Jimenez,13.54,-2.3529411764705794,17.475728155339812,1.0572687224669612,0.0,49.0,1.145,72.9
BAL,Ryan O'Hearn,13.54,5.490196078431378,10.097087378640778,2.290748898678416,3.6521739130434714,44.0,1.064,72.7
SF,Thairo Estrada,3.620000000000001,3.9215686274509842,5.43689320388349,10.925110132158592,6.956521739130432,33.0,1.134,72.4
TB,Wander Franco,12.079999999999998,3.9215686274509842,7.378640776699026,0.7048458149779742,5.043478260869559,43.0,0.264,72.1
MIN,Carlos Correa,13.190000000000001,12.549019607843139,5.0485436893203826,11.101321585903085,0.34782608695652206,33.0,0.923,69.4
PIT,Miguel Andujar,13.54,5.490196078431378,-3.4951456310679543,13.215859030837008,-4.0000000000000036,22.0,1.302,68.8
DET,S. Torkelson,13.54,8.627450980392155,-8.932038834951465,-3.876651982378849,5.739130434782604,21.0,1.233,68.6
MIA,Jesus Sanchez,17.439999999999998,-1.568627450980383,-10.873786407767001,-5.110132158590303,1.0434782608695565,65.0,1.03,67.9
NYM,Pete Alonso,13.54,-0.784313725490186,3.883495145631061,-17.97356828193833,-0.3478260869565317,48.0,1.2429999999999999,67.8
NYM,Jeff McNeil,13.54,5.490196078431378,17.86407766990291,1.057268722466971,5.3913043478260825,35.0,0.9480000000000001,66.5
MIA,Jazz Chisholm,32.98,1.5686274509803937,9.320388349514563,-19.559471365638757,-6.956521739130432,62.0,0.837,66.4
TOR,G. Springer,13.54,10.980392156862745,-7.378640776699026,5.814977973568287,3.6521739130434714,32.0,1.189,64.9
NYY,Aaron Judge,47.78,0.7843137254902077,-15.14563106796117,-12.511013215859032,5.3913043478260825,54.0,0.808,64.9
MIA,Josh Bell,44.41,-0.784313725490186,-4.660194174757286,-1.4096916299559386,-3.1304347826086985,38.0,0.857,62.1
TOR,V. Guerrero Jr.,13.54,3.1372549019607874,3.1067961165048468,9.867841409691628,-0.5217391304347928,50.0,0.654,58.7
TOR,Bo Bichette,13.54,8.627450980392155,11.650485436893206,10.220264317180616,8.869565217391303,32.0,0.628,58.3
DET,Zach McKinstry,13.54,11.764705882352942,-3.1067961165048574,3.876651982378858,13.391304347826088,29.0,0.955,58.1
PIT,Endy Rodriguez,13.54,6.274509803921575,-13.203883495145632,4.229074889867836,-1.043478260869566,58.0,0.805,55.3
