Team,Player,H,FF,FC,SI,CU,SL,KC,CH,FS
ATL,S. Strider,R,111,,,,94,,70,
ATL,S. Strider,R,0.60,,,,0.34,,0.07,
0.053,0.100,0.330
0.248
112,125
