,Unnamed: 0.1,Unnamed: 0,Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score,Bases
0,0,0,LAD,Amed Rosario,-3.43,5.490196078431378,10.097087378640778,13.215859030837008,8.695652173913041,-3.0,0.882,1.34,36.7,37.7
1,1,1,LAD,Kolten Wong,-30.200000000000003,-7.058823529411761,-8.543689320388358,-3.171806167400874,-4.695652173913048,-31.0,1.02,1.34,-115.7,-114.7
2,2,2,LAD,Jason Heyward,17.26,-2.3529411764705794,-0.3883495145631179,10.04405286343612,3.999999999999994,47.0,1.0510000000000002,1.34,106.4,107.4
3,3,3,LAD,James Outman,-14.51,-3.9215686274509736,-26.40776699029128,-11.629955947136564,7.304347826086953,10.0,0.959,1.34,-50.3,-49.3
4,4,4,LAD,Jake Marisnick,-17.55,-0.784313725490186,1.941747572815525,-7.224669603524226,4.521739130434777,-36.0,1.411,1.34,-73.8,-72.8
5,5,5,LAD,J.D. Martinez,24.05,-0.784313725490186,-12.815533980582527,-9.867841409691628,8.34782608695652,40.0,1.411,1.34,92.5,93.5
6,6,6,LAD,F. Freeman,41.17,10.19607843137256,-1.1650485436893323,13.568281938325994,16.173913043478247,71.0,1.03,1.34,208.3,209.3
7,7,7,LAD,E. Hernandez,-8.009999999999998,3.137254901960798,-0.7766990291262251,5.991189427312771,0.3478260869565124,-8.0,0.6779999999999999,1.34,-6.6,-5.6
8,8,8,LAD,David Peralta,-1.5999999999999996,1.088453945710938e-14,5.43689320388349,2.290748898678416,0.6956521739130345,21.0,0.529,1.34,19.7,20.7
9,9,9,LAD,Chris Taylor,-15.3,-3.1372549019607767,-24.07766990291264,-11.27753303964758,10.608695652173914,-11.0,0.836,1.34,-60.7,-59.7
10,10,10,LAD,Austin Barnes,-17.56,-0.784313725490186,-13.592233009708742,0.7048458149779742,-3.1304347826086985,0.0,1.099,1.34,-50.6,-49.6
11,11,11,LAD,Amed Rosario,-14.909999999999997,0.7843137254902077,8.15533980582524,6.872246696035238,5.565217391304344,-15.0,0.882,1.34,-10.1,-9.1
12,12,12,COL,Alan Trejo,-74.83,6.274509803921564,12.038834951456312,0.5286343612334904,8.173913043478258,-85.0,0.359,1.34,-63.9,-62.9
13,13,13,COL,Austin Wynns,-81.35000000000001,-2.3529411764705794,15.14563106796117,-17.44493392070483,0.1739130434782513,-106.0,0.947,1.34,-243.4,-242.4
14,14,14,COL,B. Rodgers,-56.31,-0.784313725490186,15.14563106796117,-2.2907488986784066,-0.5217391304347928,-60.0,1.168,1.34,-164.0,-163.0
15,15,15,COL,Brenton Doyle,-95.66,-2.3529411764705794,15.533980582524276,-17.44493392070483,-5.565217391304353,-82.0,1.005,1.34,-252.5,-251.5
16,16,16,COL,C. Blackmon,-53.03,0.7843137254901968,16.310679611650492,5.991189427312781,9.217391304347824,-70.0,0.957,1.34,-116.3,-115.3
17,17,17,COL,Coco Montes,-66.83000000000001,-8.627450980392155,25.63106796116505,-38.06167400881056,5.043478260869559,-83.0,0.957,1.34,-222.2,-221.2
18,18,18,COL,E. Montero,-82.21000000000001,-2.3529411764705794,21.35922330097087,-21.4977973568282,4.347826086956515,-92.0,0.961,1.34,-221.9,-220.9
19,19,19,COL,Elias Diaz,-69.91999999999999,0.7843137254901968,13.203883495145632,-6.872246696035238,-3.4782608695652204,-74.0,0.937,1.34,-176.1,-175.1
20,20,20,COL,Harold Castro,-80.32,1.5686274509803937,20.58252427184465,-10.925110132158592,7.478260869565215,-124.0,1.085,1.34,-269.9,-268.9
21,21,21,COL,Hunter Goodman,-56.74999999999999,0.7843137254901968,21.35922330097087,-16.916299559471373,-1.3913043478260885,-63.0,0.747,1.34,-116.0,-115.0
22,22,22,COL,Kris Bryant,-55.86,1.5686274509803937,15.533980582524276,-4.052863436123341,-0.1739130434782707,-67.0,0.8200000000000001,1.34,-120.9,-119.9
23,23,23,COL,Michael Toglia,-65.71,0.0,12.038834951456312,-18.85462555066078,0.8695652173912954,-86.0,0.8200000000000001,1.34,-211.3,-210.3
24,24,24,COL,Nolan Jones,-32.96000000000001,3.921568627450984,-1.5533980582524287,-13.920704845814962,-2.086956521739132,-42.0,1.344,1.34,-159.6,-158.6
25,25,25,LAD,Jonny DeLuca,-15.889999999999995,-2.3529411764705794,-3.106796116504868,-19.73568281938327,-7.478260869565225,-20.0,1.0510000000000002,1.34,-91.9,-90.9
26,26,26,LAD,Max Muncy,28.78,-3.9215686274509736,-19.805825242718456,-5.286343612334797,-2.7826086956521765,57.0,1.081,1.34,78.2,79.2
27,27,27,COL,Yonathan Daza,-71.5,-2.3529411764705794,25.63106796116505,0.5286343612334904,-11.130434782608695,-105.0,0.991,1.34,-219.5,-218.5
28,28,28,LAD,Michael Busch,-14.63,-6.274509803921564,-12.815533980582527,-18.149779735682827,-9.913043478260867,-31.0,1.081,1.34,-124.3,-123.3
29,29,29,LAD,Miguel Vargas,-8.51,4.705882352941181,-6.99029126213593,1.585903083700442,7.130434782608692,-18.0,1.101,1.34,-26.9,-25.9
30,30,30,LAD,Mookie Betts,55.0,7.843137254901968,-22.524271844660205,13.568281938325994,15.826086956521724,75.0,1.05,1.34,203.6,204.6
31,31,31,LAD,Will Smith,0.3100000000000005,5.490196078431378,-6.213592233009715,10.748898678414095,5.043478260869559,15.0,0.908,1.34,37.0,38.0
32,32,32,COL,Yonathan Daza,-37.83,-3.1372549019607767,34.1747572815534,-3.348017621145368,-15.30434782608696,-60.0,0.991,1.34,-114.5,-113.5
