Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score
CIN,C. En-Strand,30.680000000000003,-4.70588235294117,20.970873786407765,-9.691629955947135,12.695652173913025,44.0,0.8160000000000001,1.12,105.2
CIN,Will Benson,28.15,-3.1372549019607767,-1.9417475728155467,-20.088105726872236,10.26086956521739,-14.0,1.157,1.12,-1.0
PIT,Ke'Bryan Hayes,39.86,-2.3529411764705794,10.097087378640778,-3.171806167400874,-3.1304347826086985,19.0,1.2429999999999999,1.12,83.9
PIT,Liover Peguero,-24.6,-10.196078431372548,12.815533980582527,-20.26431718061673,-12.521739130434785,-46.0,0.7250000000000001,1.12,-81.8
PIT,Miguel Andujar,16.700000000000003,-2.3529411764705794,8.543689320388347,4.052863436123352,-4.347826086956515,-18.0,1.397,1.12,7.2
PIT,Nick Gonzales,-13.92,-10.980392156862745,9.320388349514563,-26.78414096916299,-13.043478260869566,-56.0,1.397,1.12,-124.8
PIT,Oneil Cruz,-14.259999999999998,-8.627450980392155,-1.941747572815536,-15.154185022026434,-10.26086956521739,-28.0,1.397,1.12,-87.6
PIT,T. Marcano,5.379999999999999,0.7843137254902077,10.097087378640778,3.876651982378858,-6.434782608695648,-13.0,1.397,1.12,0.8
CIN,Curt Casali,8.790000000000001,-6.274509803921564,1.9417475728155251,-3.5242290748898615,-5.9130434782608745,17.0,0.8160000000000001,1.12,13.5
CIN,E. De La Cruz,12.69,-1.568627450980383,1.5533980582524178,-7.9295154185022,-2.2608695652173934,-3.0,0.8160000000000001,1.12,-0.6
CIN,Harrison Bader,31.23,1.5686274509804046,19.41747572815534,8.281938325991186,0.8695652173912954,58.0,0.8180000000000001,1.12,109.4
CIN,Henry Ramos,24.679999999999996,1.088453945710938e-14,17.087378640776695,-1.7621145374449256,2.6086956521739055,23.0,0.8180000000000001,1.12,73.5
CIN,Hunter Renfroe,13.44,-3.9215686274509736,-1.0778864316749093e-14,3.876651982378858,-1.9130434782608714,24.0,0.8180000000000001,1.12,39.7
CIN,Jake Fraley,27.609999999999996,-1.568627450980383,17.86407766990291,1.4096916299559483,11.304347826086957,-5.0,0.675,1.12,39.0
CIN,Jason Vosler,11.290000000000001,-7.843137254901959,9.70873786407767,-16.38766519823789,-3.304347826086959,22.0,0.675,1.12,17.3
