Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score
CIN,Jake Fraley,13.379999999999999,6.274509803921575,8.15533980582524,6.519823788546251,9.217391304347824,52.0,0.675,1.16,74.8
PIT,Liover Peguero,1.759999999999999,-3.9215686274509736,23.689320388349504,-17.44493392070483,-7.130434782608692,-6.0,0.7250000000000001,1.16,-7.6
PIT,Endy Rodriguez,13.61,5.490196078431378,8.543689320388347,-3.7004405286343545,0.521739130434783,-19.0,0.7190000000000001,1.16,4.6
PIT,Henry Davis,-0.5199999999999998,1.5686274509804046,12.427184466019419,-10.748898678414097,-4.173913043478264,-13.0,0.78,1.16,-13.1
PIT,Jack Suwinski,8.990000000000002,-2.3529411764705794,-3.106796116504868,-17.79735682819382,-1.5652173913043492,-70.0,1.137,1.16,-113.2
PIT,Jared Triolo,16.78,1.088453945710938e-14,4.660194174757276,-17.44493392070483,5.739130434782604,14.0,1.232,1.16,33.9
CIN,C. En-Strand,7.120000000000001,5.490196078431378,10.097087378640778,-3.5242290748898615,10.608695652173894,12.0,0.8160000000000001,1.16,48.5
PIT,Ji-hwan Bae,-6.73,0.7843137254902077,4.271844660194168,-4.581497797356823,-4.521739130434777,-55.0,0.87,1.16,-66.4
PIT,Josh Palacios,24.189999999999998,8.627450980392155,23.689320388349504,-13.215859030836988,-4.0000000000000036,-18.0,1.179,1.16,29.1
PIT,Ke'Bryan Hayes,46.650000000000006,5.490196078431378,22.135922330097078,-0.5286343612334709,2.434782608695645,52.0,1.2429999999999999,1.16,184.8
PIT,Miguel Andujar,46.9,3.9215686274509842,19.41747572815534,6.872246696035248,1.043478260869566,66.0,1.397,1.16,233.6
PIT,C. Smith-Njigba,5.829999999999999,-8.627450980392155,17.087378640776695,-42.99559471365638,1.043478260869566,-21.0,1.208,1.16,-56.4
PIT,Nick Gonzales,8.720000000000002,-4.70588235294117,20.194174757281555,-23.964757709251096,-7.652173913043476,-19.0,1.397,1.16,-30.6
PIT,Oneil Cruz,4.16,-1.568627450980383,8.932038834951454,-12.511013215859013,-3.304347826086959,-11.0,1.397,1.16,-17.7
PIT,T. Marcano,25.309999999999995,7.058823529411772,20.970873786407765,6.696035242290755,-1.043478260869566,-28.0,1.397,1.16,36.0
CIN,Will Benson,1.8899999999999997,5.490196078431378,-11.650485436893206,-14.801762114537448,8.34782608695652,61.0,1.157,1.16,67.5
CIN,Curt Casali,-5.779999999999999,2.3529411764705905,-7.7669902912621325,1.938325991189429,-7.8260869565217455,-16.0,0.8160000000000001,1.16,-38.4
