Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score
KC,Franmil Reyes,-29.779999999999998,-1.568627450980383,5.825242718446598,-0.5286343612334709,2.956521739130428,0.0,1.034,1.08,6.3
KC,E. Olivares,-29.779999999999998,4.705882352941181,9.320388349514563,14.625550660792957,3.999999999999994,82.0,1.034,1.08,156.9
CIN,Curt Casali,-29.779999999999998,-1.568627450980383,-3.1067961165048574,-18.85462555066078,-9.565217391304346,-78.0,1.108,1.08,-152.3
CIN,C. En-Strand,-29.779999999999998,6.274509803921575,13.203883495145632,-24.84581497797356,9.391304347826086,-54.0,1.108,1.08,-79.0
KC,V. Pasquantino,-29.779999999999998,8.627450980392155,1.1650485436893108,20.79295154185023,6.434782608695648,67.0,1.108,1.08,127.8
KC,Samad Taylor,-29.779999999999998,-2.3529411764705794,-1.0778864316749093e-14,-19.73568281938325,-9.654113257610057e-15,-12.0,1.108,1.08,-37.1
KC,Salvador Perez,-29.779999999999998,7.8431372549019684,17.4757281553398,9.162995594713655,6.60869565217391,60.0,1.108,1.08,138.2
KC,Nick Pratto,-29.779999999999998,-1.568627450980383,-0.38834951456311795,-14.801762114537448,15.130434782608681,-9.0,0.786,1.08,-18.5
KC,Nick Loftin,-29.779999999999998,0.7843137254902077,4.271844660194168,-0.7048458149779644,-2.9565217391304373,12.0,0.956,1.08,31.8
KC,Nate Eaton,-29.779999999999998,-5.490196078431367,6.990291262135919,-0.3524229074889773,11.478260869565219,-3.0,0.9430000000000001,1.08,5.9
KC,N. Velazquez,-29.779999999999998,-0.784313725490186,-5.825242718446607,2.290748898678426,0.17391304347825137,53.0,0.9430000000000001,1.08,77.8
KC,MJ Melendez,-29.779999999999998,1.5686274509804046,-10.097087378640778,3.7004405286343545,4.521739130434777,50.0,0.767,1.08,56.6
KC,Michael Massey,-29.779999999999998,3.9215686274509842,5.0485436893203826,18.149779735682827,1.5652173913043397,32.0,1.535,1.08,147.4
KC,Matt Duffy,-29.779999999999998,3.9215686274509842,12.038834951456312,11.45374449339207,5.739130434782604,6.0,0.625,1.08,33.5
KC,Matt Beaty,-29.779999999999998,3.9215686274509842,10.87378640776699,17.621145374449345,0.6956521739130345,4.0,0.91,1.08,45.6
KC,Maikel Garcia,-29.779999999999998,0.7843137254902077,-0.7766990291262251,20.088105726872257,6.60869565217391,32.0,0.91,1.08,79.9
