Team,Player,H,FF,FC,SI,CU,SL,KC,CH,FS
BAL,Kyle Gibson,R,31,13,25,50,57,,41,
BAL,Kyle Gibson,R,0.12,0.18,0.26,0.08,0.19,,0.17,
0.056,0.078,0.209
0.236
11,31
