Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score
PIT,Oneil Cruz,18.499999999999996,-3.1372549019607767,-2.330097087378643,-2.8193832599118873,-7.130434782608692,33.0,1.281,1.09,39.3
PIT,T. Marcano,5.4,7.058823529411772,9.320388349514563,16.916299559471373,-1.5652173913043492,43.0,1.281,1.09,87.3
PIT,Alfonso Rivas,1.7399999999999998,3.9215686274509842,-9.70873786407767,-3.7004405286343545,-1.9130434782608714,2.0,1.264,1.09,-10.6
PIT,Alika Williams,-4.180000000000001,2.3529411764705905,5.825242718446598,-11.45374449339207,7.999999999999997,8.0,0.797,1.09,7.4
PIT,Bryan Reynolds,43.18,2.3529411764705905,-11.262135922330097,3.5242290748898712,2.7826086956521667,72.0,1.385,1.09,170.0
PIT,C. Smith-Njigba,7.090000000000001,-9.411764705882351,5.43689320388349,-32.951541850220266,0.521739130434783,17.0,1.385,1.09,-13.4
PIT,Connor Joe,-1.2600000000000011,0.7843137254902077,-1.9417475728155467,7.048458149779733,1.9130434782608614,4.0,0.45599999999999996,1.09,5.2
PIT,Endy Rodriguez,11.35,3.9215686274509842,-3.495145631067965,7.753303964757707,-1.043478260869566,57.0,0.925,1.09,76.1
PIT,Henry Davis,6.98,1.5686274509803937,2.7184466019417393,-2.4669603524229,-4.6956521739130475,21.0,0.264,1.09,7.2
PIT,Jack Suwinski,21.689999999999998,-5.490196078431367,-9.320388349514563,-3.3480176211453676,-2.9565217391304373,63.0,1.1,1.09,76.2
PIT,Jared Triolo,1.739999999999998,-2.3529411764705794,1.1650485436893108,-1.0572687224669612,1.2173913043478175,8.0,0.931,1.09,8.8
PIT,Jason Delay,4.739999999999999,2.3529411764705905,3.1067961165048468,2.9955947136563905,2.6086956521739055,1.0,0.764,1.09,14.0
PIT,Ji-hwan Bae,-23.08,-2.3529411764705794,-8.15533980582525,5.814977973568287,-5.913043478260866,-2.0,0.747,1.09,-29.1
PIT,Josh Palacios,14.59,3.1372549019607874,8.15533980582524,0.17621145374449354,-5.217391304347822,55.0,1.0470000000000002,1.09,86.6
PIT,Ke'Bryan Hayes,19.919999999999998,4.705882352941181,10.097087378640778,8.986784140969162,1.5652173913043397,65.0,1.173,1.09,141.0
PIT,Liover Peguero,-0.17999999999999972,-0.784313725490186,11.262135922330097,-1.7621145374449356,-7.130434782608692,24.0,0.931,1.09,25.8
PIT,Miguel Andujar,23.52,3.9215686274509842,8.932038834951454,15.682819383259915,-1.9130434782608714,33.0,1.281,1.09,116.1
PIT,A. McCutchen,-3.870000000000002,-0.784313725490186,-13.592233009708742,3.5242290748898712,7.130434782608692,16.0,0.985,1.09,9.2
PIT,Nick Gonzales,-1.9399999999999995,-5.490196078431367,8.543689320388347,-13.744493392070488,-7.999999999999997,-2.0,1.281,1.09,-24.7
MIN,Trevor Larnach,-1.4299999999999988,2.3529411764705905,-4.660194174757286,-14.44933920704846,12.695652173913045,33.0,1.065,1.08,29.7
MIN,Willi Castro,-22.560000000000002,14.117647058823534,14.757281553398062,0.8810572687224776,7.478260869565215,5.0,0.776,1.08,16.5
MIN,Nick Gordon,5.629999999999999,5.490196078431378,17.4757281553398,-3.7004405286343545,2.7826086956521667,36.0,1.074,1.08,68.8
MIN,Max Kepler,30.189999999999998,10.980392156862745,-2.330097087378643,6.872246696035238,9.043478260869565,81.0,1.074,1.08,157.5
MIN,Matt Wallner,5.779999999999999,0.7843137254901968,-1.941747572815536,-19.73568281938325,3.1304347826086887,28.0,1.289,1.08,22.3
MIN,M. A. Taylor,-1.4799999999999995,12.549019607843139,9.320388349514563,-7.577092511013213,2.2608695652173836,-2.0,0.849,1.08,14.1
MIN,Kyle Garlick,4.3100000000000005,4.705882352941181,4.660194174757276,-15.506607929515424,2.7826086956521667,31.0,0.849,1.08,34.5
MIN,Kyle Farmer,0.010000000000000675,5.490196078431378,12.038834951456312,3.7004405286343642,10.434782608695652,27.0,0.849,1.08,53.8
MIN,Jose Miranda,2.8199999999999985,4.705882352941181,18.640776699029125,3.3480176211453774,6.0869565217391255,-7.0,1.101,1.08,30.9
MIN,Jorge Polanco,19.959999999999994,9.411764705882351,-7.3786407766990365,-1.0572687224669515,11.652173913043478,53.0,1.101,1.08,101.8
MIN,Jordan Luplow,-5.4,1.088453945710938e-14,-0.38834951456311795,-8.634361233480174,-2.9565217391304373,-7.0,0.514,1.08,-13.5
MIN,Joey Gallo,-17.840000000000003,-7.058823529411761,-7.766990291262144,-29.251101321585903,-5.3913043478260825,-22.0,1.194,1.08,-96.5
MIN,Edouard Julien,0.029999999999998472,3.9215686274509842,-15.14563106796117,-8.105726872246693,5.913043478260866,25.0,1.194,1.08,15.0
MIN,Donovan Solano,14.1,7.843137254901959,9.320388349514563,0.7048458149779839,20.695652173913032,10.0,0.264,1.08,17.9
MIN,Carlos Correa,22.080000000000002,11.764705882352942,16.6990291262136,5.286343612334807,4.695652173913038,36.0,0.986,1.08,102.8
MIN,C. Vazquez,-5.37,6.274509803921575,18.640776699029125,0.7048458149779839,12.173913043478263,-16.0,0.469,1.08,8.3
MIN,Byron Buxton,17.25,1.5686274509803937,3.1067961165048468,-13.215859030837008,0.0,15.0,1.097,1.08,25.6
MIN,Royce Lewis,43.36,8.627450980392155,10.87378640776699,3.5242290748898712,5.043478260869559,76.0,1.323,1.08,210.7
CLE,Will Brennan,6.47,6.274509803921564,3.883495145631061,7.048458149779733,9.217391304347824,24.0,0.985,1.08,60.5
