Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score
NYY,DJ LeMahieu,-17.91,4.705882352941181,-0.38834951456311795,-1.5859030837004322,2.6086956521739055,5.0,1.175,1.1,-9.8
TOR,Matt Chapman,-86.30999999999999,-7.058823529411761,1.9417475728155251,-25.37444933920706,-9.654113257610057e-15,-113.0,0.898,1.1,-227.0
TOR,S. Espinal,-53.75,-0.784313725490186,19.02912621359223,2.1145374449339127,7.999999999999997,-84.0,0.997,1.1,-120.0
TOR,S. Horwitz,-56.11,-7.058823529411761,24.854368932038827,-38.06167400881058,0.5217391304347734,-68.0,0.264,1.1,-41.8
TOR,Tyler Heineman,-65.08,-4.70588235294117,20.970873786407758,-2.9955947136563905,12.869565217391306,-74.0,0.264,1.1,-32.8
TOR,V. Guerrero Jr.,-20.72,-2.3529411764705794,15.533980582524265,-1.233480176211455,3.1304347826086887,-8.0,1.344,1.1,-20.2
TOR,W. Merrifield,-74.24,3.137254901960798,21.359223300970864,0.8810572687224678,8.869565217391303,-91.0,0.661,1.1,-95.2
DET,Zack Short,-6.879999999999999,-3.9215686274509736,-16.6990291262136,-12.687224669603527,-2.086956521739132,-2.0,0.914,1.1,-44.5
DET,Zach McKinstry,-4.07,6.274509803921575,-15.533980582524277,-5.638766519823784,10.434782608695652,-6.0,0.44100000000000006,1.1,-7.1
DET,Tyler Nevin,-0.009999999999999787,0.7843137254902077,-24.85436893203885,-7.40088105726872,-2.434782608695654,-37.0,1.149,1.1,-89.6
DET,S. Torkelson,22.430000000000003,0.7843137254902077,-21.359223300970882,-10.39647577092511,3.6521739130434714,5.0,0.996,1.1,0.1
DET,Riley Greene,12.260000000000002,1.5686274509803937,-26.796116504854382,-10.748898678414097,10.782608695652174,41.0,1.032,1.1,30.9
DET,Parker Meadows,-17.8,-3.1372549019607767,-15.533980582524277,-19.38325991189428,4.173913043478255,-11.0,1.032,1.1,-71.2
TOR,Cavan Biggio,-56.03,-1.568627450980383,5.43689320388349,-10.39647577092511,4.869565217391299,-82.0,0.892,1.1,-137.1
DET,Miguel Cabrera,9.360000000000001,3.9215686274509842,-6.601941747572822,-5.110132158590303,7.304347826086953,19.0,1.032,1.1,31.6
DET,Matt Vierling,-5.93,1.088453945710938e-14,-11.650485436893215,-3.876651982378849,3.6521739130434714,-7.0,0.868,1.1,-23.7
DET,K. Carpenter,-5.090000000000001,1.5686274509803937,-5.048543689320404,-7.753303964757707,5.3913043478260825,25.0,0.763,1.1,11.8
DET,Javier Baez,-9.1,3.1372549019607874,-4.27184466019419,-14.625550660792934,1.3913043478260785,-20.0,1.0030000000000001,1.1,-48.0
