,Unnamed: 0,Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score,Bases
83,83,LAA,Mike Trout,4.44,2.352941176470601,-4.271844660194179,-20.440528634361243,11.130434782608695,15.0,0.585,0.96,7.9,8.9
84,84,LAA,Nolan Schanuel,0.9200000000000002,5.490196078431378,10.097087378640778,-6.167400881057264,8.34782608695652,-11.0,1.0710000000000002,0.96,7.9,8.9
85,85,LAA,Randal Grichuk,23.41,2.352941176470601,6.601941747572813,0.1762114537444935,8.52173913043478,6.0,1.209,0.96,54.6,55.6
86,86,LAA,Shohei Ohtani,33.51,1.088453945710938e-14,-3.883495145631072,-14.977973568281945,4.695652173913038,60.0,1.209,0.96,76.2,77.2
87,87,LAA,Taylor Ward,30.27,3.921568627450995,-3.106796116504857,-3.524229074889861,8.869565217391303,9.0,1.209,0.96,43.6,44.6
88,88,LAA,Trey Cabbage,-9.760000000000002,-14.90196078431372,23.30097087378641,-56.56387665198238,-9.391304347826086,-31.0,0.264,0.96,-24.9,-23.9
89,89,ARI,Gabriel Moreno,-44.28,4.705882352941181,4.660194174757276,-1.4096916299559386,-9.654113257610056e-15,10.0,1.183,0.93,-29.0,-28.0
90,90,ARI,Tommy Pham,-23.72000000000001,-2.3529411764705794,4.660194174757276,-5.814977973568277,4.695652173913038,26.0,1.053,0.93,3.4,4.4
91,91,ARI,Seby Zavala,-61.16,-2.3529411764705794,8.543689320388347,-26.960352422907484,-3.652173913043482,-31.0,1.164,0.93,-126.2,-125.2
92,92,ARI,G. Perdomo,-49.66,1.088453945710938e-14,1.5533980582524178,1.9383259911894388,-5.391304347826092,-62.0,0.688,0.93,-72.7,-71.7
93,93,ARI,Pavin Smith,-45.10000000000001,-0.784313725490186,0.7766990291262036,1.2334801762114649,-1.7391304347826102,-24.0,2.264,0.93,-146.6,-145.6
94,94,ARI,Nick Ahmed,-52.5,2.3529411764705905,21.359223300970864,-9.867841409691628,2.956521739130428,3.0,1.0630000000000002,0.93,-30.4,-29.4
95,95,ARI,L. Gurriel Jr.,-21.28,10.980392156862743,21.359223300970864,3.171806167400884,2.956521739130428,32.0,1.0630000000000002,0.93,48.6,49.6
96,96,ARI,Kyle Lewis,-40.760000000000005,-3.9215686274509736,2.71844660194174,-21.85022026431719,-6.956521739130432,-36.0,1.23,0.93,-99.3,-98.3
97,97,ARI,Ketel Marte,-13.34,1.5686274509803937,-2.330097087378653,3.171806167400884,-2.9565217391304373,-5.0,1.23,0.93,-21.6,-20.6
98,98,ARI,Jose Herrera,-53.0,-3.1372549019607767,3.1067961165048468,-6.343612334801758,0.5217391304347734,-67.0,0.264,0.93,-30.9,-29.9
99,99,ARI,Jake McCarthy,-44.02,3.1372549019607874,12.42718446601942,0.7048458149779839,-2.086956521739132,-75.0,0.8200000000000001,0.93,-79.9,-78.9
100,100,ARI,C. Walker,-17.240000000000002,3.921568627450984,4.660194174757276,-0.7048458149779644,-8.173913043478258,16.0,0.76,0.93,-1.1,-0.10000000000000009
101,101,ARI,Corbin Carroll,-25.960000000000004,7.058823529411761,12.815533980582527,-1.9383259911894195,-2.2608695652173934,-15.0,0.945,0.93,-22.2,-21.2
102,102,ARI,D. Fletcher,-30.78,2.3529411764705905,17.4757281553398,-13.744493392070488,-4.521739130434787,-34.0,0.945,0.93,-58.8,-57.8
103,103,ARI,E. Rivera,-44.22,6.274509803921575,8.15533980582524,-5.286343612334797,6.0869565217391255,-17.0,0.861,0.93,-36.8,-35.8
104,104,ARI,Jace Peterson,-51.78,1.088453945710938e-14,6.601941747572813,-10.925110132158592,0.8695652173912954,-52.0,0.765,0.93,-76.3,-75.3
105,105,ARI,Evan Longoria,-39.38,0.7843137254901968,13.592233009708742,-15.682819383259895,-4.000000000000004,29.0,0.685,0.93,-10.0,-9.0
106,106,NYY,Billy McKinney,-3.4400000000000004,2.3529411764705905,-14.368932038834956,-21.850220264317173,6.0869565217391255,12.0,0.648,0.93,-17.9,-16.9
