Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score
CIN,Hunter Renfroe,-6.7700000000000005,-2.3529411764705794,-22.524271844660205,13.568281938325994,-5.217391304347822,10.0,0.264,1.16,-15.4
CIN,Harrison Bader,2.2,3.1372549019607874,-2.718446601941761,17.97356828193833,-2.6086956521739157,10.0,0.264,1.16,8.6
CIN,Curt Casali,-24.92,-4.70588235294117,-20.194174757281562,6.167400881057264,-9.043478260869565,-23.0,0.779,1.16,-87.8
CIN,C. En-Strand,-14.88,-0.784313725490186,-2.718446601941761,-0.3524229074889773,10.434782608695652,7.0,0.779,1.16,-1.5
PIT,Alfonso Rivas,-3.1799999999999997,3.1372549019607874,-8.15533980582525,-17.44493392070483,-0.6956521739130538,-6.0,0.6930000000000001,1.16,-26.0
PIT,Alika Williams,-7.24,0.0,3.1067961165048468,-23.7885462555066,9.217391304347824,-34.0,0.264,1.16,-16.1
PIT,Bryan Reynolds,25.34,1.5686274509803937,-7.3786407766990365,-12.158590308370044,4.347826086956515,17.0,0.9450000000000001,1.16,31.5
PIT,C. Smith-Njigba,0.0,-10.980392156862745,2.7184466019417393,-45.28634361233481,1.7391304347826004,-13.0,0.9450000000000001,1.16,-75.2
PIT,Connor Joe,21.0,-1.568627450980383,-2.718446601941761,-5.814977973568277,4.695652173913038,19.0,1.264,1.16,50.7
PIT,Endy Rodriguez,17.080000000000002,0.0,-4.660194174757286,-7.577092511013213,1.3913043478260785,-22.0,0.528,1.16,-9.7
PIT,Henry Davis,-2.18,-0.784313725490186,-1.9417475728155467,-11.982378854625551,-3.3043478260869694,-20.0,0.585,1.16,-27.3
PIT,Jack Suwinski,3.38,-7.058823529411761,-14.757281553398062,-20.440528634361243,-1.2173913043478368,-63.0,0.7150000000000001,1.16,-85.5
PIT,Jared Triolo,7.68,-3.1372549019607767,-4.660194174757286,-20.616740088105715,4.869565217391299,13.0,1.745,1.16,-5.8
PIT,Jason Delay,-4.34,0.7843137254901968,-1.9417475728155467,-7.577092511013213,3.1304347826086887,-16.0,0.972,1.16,-29.3
PIT,Ji-hwan Bae,-12.66,-2.3529411764705794,-9.70873786407768,-7.40088105726872,-5.2173913043478315,-49.0,0.844,1.16,-84.5
PIT,Josh Palacios,23.380000000000003,3.9215686274509842,10.097087378640778,-12.687224669603527,-4.173913043478264,-14.0,1.1059999999999999,1.16,8.4
PIT,Ke'Bryan Hayes,57.64,1.5686274509803937,8.543689320388347,-2.8193832599118873,3.30434782608695,52.0,1.412,1.16,196.9
PIT,Liover Peguero,-0.5199999999999998,-2.3529411764705794,9.320388349514563,-16.740088105726855,-6.434782608695658,-5.0,0.6990000000000001,1.16,-17.6
PIT,Miguel Andujar,30.54,2.3529411764705905,5.43689320388349,2.46696035242291,1.2173913043478175,56.0,1.582,1.16,179.9
CIN,E. De La Cruz,-29.86,4.705882352941181,-15.922330097087382,0.17621145374450334,-5.739130434782604,-11.0,0.779,1.16,-66.9
CIN,Henry Ramos,-4.08,1.5686274509803937,-5.048543689320404,7.9295154185022,-0.521739130434783,13.0,0.264,1.16,14.9
PIT,Oneil Cruz,2.2800000000000002,-4.70588235294117,-5.048543689320393,-14.801762114537448,-5.739130434782614,-5.0,1.582,1.16,-38.3
CIN,Jake Fraley,2.579999999999999,1.088453945710938e-14,-3.8834951456310822,11.45374449339207,7.999999999999997,11.0,0.716,1.16,24.2
CIN,Will Benson,-10.65,-1.568627450980383,-25.631067961165066,-7.9295154185022,6.60869565217391,21.0,1.2189999999999999,1.16,-25.7
CIN,Wil Myers,-11.040000000000001,-3.1372549019607767,-10.485436893203895,-8.105726872246693,0.8695652173912954,-9.0,0.775,1.16,-47.4
CIN,TJ Friedl,-19.54,-1.568627450980383,-1.1650485436893323,14.273127753303967,-6.782608695652169,-18.0,0.775,1.16,-29.5
CIN,T.J. Hopkins,-24.67,-5.490196078431367,-10.485436893203895,-16.035242290748904,-8.173913043478258,-15.0,0.519,1.16,-92.6
CIN,T. Stephenson,-13.04,3.9215686274509842,-1.9417475728155467,7.048458149779733,3.30434782608695,3.0,0.519,1.16,1.4
CIN,Spencer Steer,-0.94,1.088453945710938e-14,-12.427184466019419,4.581497797356823,2.2608695652173836,9.0,1.431,1.16,4.1
CIN,S. Fairchild,-16.62,0.7843137254901968,-4.27184466019419,-2.2907488986784066,-0.8695652173913051,-5.0,0.264,1.16,-8.7
CIN,Noelvi Marte,-5.290000000000001,2.3529411764705905,0.7766990291262036,11.806167400881058,-8.869565217391303,27.0,1.1019999999999999,1.16,35.5
CIN,Nick Senzel,-6.06,1.088453945710938e-14,-0.38834951456311795,11.806167400881058,-4.521739130434787,-32.0,1.317,1.16,-47.6
CIN,Nick Martini,-10.9,-0.784313725490186,-20.58252427184467,11.806167400881058,0.34782608695652206,5.0,0.46399999999999997,1.16,-8.1
CIN,Matt McLain,6.560000000000002,-5.490196078431367,-13.592233009708742,-3.7004405286343545,7.130434782608692,-3.0,0.716,1.16,-14.0
CIN,Luke Maile,-3.120000000000001,-2.3529411764705794,0.7766990291262036,5.991189427312771,-6.956521739130432,-5.0,0.716,1.16,-8.9
CIN,Kevin Newman,-2.410000000000002,4.705882352941181,1.5533980582524178,22.026431718061673,3.1304347826086887,-4.0,0.8190000000000001,1.16,29.0
CIN,Jose Garcia,-19.010000000000005,-0.784313725490186,-9.70873786407768,-2.4669603524229,-5.3913043478260825,-24.0,0.8190000000000001,1.16,-71.2
CIN,Jonathan India,-14.800000000000002,-3.9215686274509736,-24.077669902912636,1.7621145374449452,2.6086956521739055,0.0,0.8190000000000001,1.16,-36.5
CIN,Joey Votto,-16.080000000000005,-3.1372549019607767,-18.640776699029132,2.4669603524229,-15.826086956521744,-21.0,0.91,1.16,-76.2
CIN,Jason Vosler,-10.04,-6.274509803921564,-12.427184466019419,-6.696035242290745,-3.4782608695652204,-38.0,0.716,1.16,-89.2
PIT,Nick Gonzales,0.8599999999999994,-7.058823529411761,6.213592233009705,-26.25550660792951,-6.956521739130441,-24.0,1.582,1.16,-66.3
PIT,T. Marcano,28.14,4.705882352941181,6.990291262135919,4.405286343612339,-0.3478260869565317,-20.0,1.582,1.16,27.7
PIT,A. McCutchen,18.3,0.0,-15.533980582524277,-8.986784140969162,7.304347826086953,7.0,0.871,1.16,9.4
NYY,Oswald Peraza,-32.36,2.3529411764705905,23.689320388349504,-20.616740088105715,-2.6086956521739157,-42.0,0.575,1.11,-45.7
SD,J. Profar,32.06,3.1372549019607874,-11.650485436893206,19.559471365638775,1.2173913043478175,57.0,0.486,1.11,54.7
ARI,Alek Thomas,-0.5300000000000007,6.274509803921575,13.203883495145632,5.286343612334807,10.08695652173913,4.0,1.183,1.11,50.3
NYY,Aaron Judge,25.579999999999995,5.490196078431378,-13.203883495145632,-15.85903083700441,6.60869565217391,10.0,1.107,1.11,22.9
NYY,Anthony Rizzo,-25.41,12.549019607843139,9.320388349514563,-14.625550660792934,8.695652173913041,-29.0,1.107,1.11,-42.7
SD,Luis Campusano,41.529999999999994,6.274509803921575,9.70873786407767,22.378854625550673,2.6086956521739055,74.0,1.186,1.11,206.0
SD,Juan Soto,69.5,3.1372549019607874,-16.6990291262136,16.211453744493397,-6.434782608695648,130.0,1.55,1.11,336.7
SD,Jose Azocar,28.490000000000002,3.9215686274509842,13.592233009708728,13.215859030837008,-4.347826086956526,34.0,1.014,1.11,100.0
SD,Ji-Man Choi,47.989999999999995,-0.784313725490186,-17.475728155339812,1.9383259911894388,3.6521739130434714,96.0,0.639,1.11,93.1
SD,J. Cronenworth,17.759999999999998,10.196078431372548,2.7184466019417393,26.960352422907494,1.2173913043478175,91.0,0.648,1.11,166.3
ARI,Corbin Carroll,-11.630000000000003,11.764705882352942,7.7669902912621325,4.93392070484582,9.913043478260867,22.0,1.4,1.11,69.5
SD,Ha-seong Kim,32.35,0.7843137254902077,-7.3786407766990365,21.32158590308371,1.0434782608695565,33.0,0.648,1.11,58.3
SD,Gary Sanchez,39.17,0.7843137254902077,-5.825242718446607,7.753303964757707,-12.173913043478263,66.0,1.397,1.11,106.2
SD,Garrett Cooper,30.34,4.705882352941181,-6.213592233009715,5.462555066079311,9.391304347826086,31.0,1.397,1.11,115.8
SD,F. Tatis Jr.,41.11,3.9215686274509842,-0.38834951456311795,10.748898678414097,-4.869565217391308,85.0,1.157,1.11,174.0
SD,Brett Sullivan,40.49,-1.568627450980383,-0.7766990291262251,5.462555066079311,1.5652173913043397,69.0,0.797,1.11,101.0
SD,Brandon Dixon,30.73,-2.3529411764705794,1.9417475728155251,-8.810572687224669,0.3478260869565124,41.0,1.333,1.11,69.8
SD,Austin Nola,10.8,0.7843137254902077,-6.601941747572822,18.678414096916306,-3.826086956521743,-2.0,1.333,1.11,19.8
ARI,C. Walker,9.79,8.627450980392165,0.7766990291262036,1.938325991189429,5.217391304347822,-7.0,0.996,1.11,21.4
ARI,D. Fletcher,-24.450000000000003,7.058823529411772,12.038834951456312,-10.044052863436121,7.999999999999997,2.0,1.4,1.11,-6.0
