Team,Player,PP,XBH,BB,K,Line,H,OPS,Score
BAL,Terrin Vavra,13.799999999999999,-5.490196078431367,-8.543689320388347,-3.171806167400874,7.130434782608692,75.0,1.664,92.0
BAL,A. Santander,13.799999999999999,0.0,1.1650485436893214,-14.977973568281943,-7.8260869565217455,65.0,1.33,91.2
BAL,Austin Hays,13.799999999999999,0.0,-7.7669902912621325,-7.9295154185022,-9.391304347826086,46.0,1.2570000000000001,91.1
TEX,Leody Taveras,10.890000000000002,10.196078431372548,-11.650485436893206,1.4096916299559483,6.434782608695648,52.0,1.314,91.0
TOR,Nathan Lukes,13.799999999999999,1.088453945710938e-14,-7.378640776699026,22.026431718061666,0.8695652173913051,49.0,1.193,89.3
HOU,Chas McCormick,13.799999999999999,8.627450980392165,4.660194174757286,9.691629955947135,4.173913043478255,23.0,1.5,88.6
LAD,Chris Taylor,13.799999999999999,3.1372549019607874,22.524271844660205,14.977973568281923,6.260869565217387,3.0,1.604,86.6
SEA,T. Hernandez,13.799999999999999,5.490196078431378,-10.485436893203882,16.211453744493397,16.69565217391305,14.0,1.146,84.2
ARI,Ketel Marte,19.519999999999996,0.7843137254902077,6.601941747572813,-8.458149779735681,0.6956521739130441,48.0,1.233,82.8
PHI,Bryce Harper,13.799999999999999,3.137254901960798,-4.660194174757276,16.211453744493397,6.434782608695648,45.0,0.762,81.2
CHC,Miguel Amaya,39.739999999999995,-1.568627450980383,-11.650485436893206,4.052863436123341,-2.2608695652174027,54.0,0.986,81.2
CHC,Mike Tauchman,31.130000000000003,4.705882352941181,-0.3883495145630964,-5.1101321585903134,8.52173913043478,47.0,0.928,79.7
BAL,Kyle Stowers,13.799999999999999,-3.1372549019607767,-10.097087378640778,14.801762114537448,-5.391304347826092,53.0,0.87,79.7
CHC,Ian Happ,31.32,6.274509803921575,-6.213592233009705,-7.753303964757716,4.521739130434777,63.0,0.873,79.6
HOU,Jose Altuve,13.799999999999999,8.627450980392165,2.7184466019417504,-6.696035242290745,-5.739130434782604,21.0,1.466,77.0
TEX,Josh Jung,21.74,3.9215686274509842,-13.203883495145632,9.691629955947135,12.869565217391306,42.0,,77.0
PHI,Alec Bohm,13.799999999999999,13.333333333333336,-6.213592233009705,-3.876651982378849,1.043478260869566,56.0,0.921,76.0
CHC,Dansby Swanson,36.36,5.490196078431378,-10.097087378640778,-8.986784140969162,3.999999999999994,49.0,1.001,75.8
CHW,Luis Robert,13.799999999999999,0.7843137254901968,-17.864077669902922,14.096916299559474,5.565217391304344,67.0,0.934,75.5
NYY,Gleyber Torres,35.449999999999996,3.9215686274509842,-5.43689320388349,3.7004405286343545,-3.1304347826087078,22.0,1.331,75.2
ATL,Eddie Rosario,-0.39000000000000057,6.274509803921575,-2.330097087378632,-1.7621145374449356,3.1304347826086887,51.0,1.313,73.4
PHI,J.T. Realmuto,13.799999999999999,8.627450980392165,1.5533980582524287,12.511013215859032,7.478260869565215,19.0,1.2069999999999999,72.9
SF,M. Yastrzemski,13.799999999999999,-1.568627450980383,10.097087378640778,11.982378854625551,6.956521739130432,1.0,1.564,72.8
SEA,Mike Ford,13.799999999999999,-1.568627450980383,6.213592233009715,16.211453744493397,2.434782608695645,20.0,1.271,72.2
BAL,James McCann,13.799999999999999,1.5686274509803937,-6.213592233009705,-2.4669603524229196,-1.913043478260881,43.0,1.0939999999999999,71.5
ATL,Marcell Ozuna,35.040000000000006,9.411764705882351,-5.43689320388349,-8.986784140969162,-1.7391304347826102,37.0,1.077,70.3
SD,Manny Machado,33.13,14.117647058823534,-6.990291262135919,-17.97356828193833,-0.521739130434783,37.0,1.191,70.0
LAD,James Outman,13.799999999999999,-0.784313725490186,20.58252427184467,12.687224669603527,5.043478260869559,20.0,1.1560000000000001,69.9
WAS,C.J. Abrams,28.639999999999997,14.117647058823534,-13.203883495145632,-5.638766519823793,-2.434782608695654,48.0,,69.5
CHC,Nico Hoerner,41.959999999999994,7.8431372549019684,-29.90291262135922,-22.202643171806177,0.6956521739130345,73.0,0.974,69.5
ARI,C. Walker,23.519999999999996,3.9215686274509842,2.330097087378643,-2.6431718061674037,-3.304347826086959,58.0,0.847,69.3
WAS,Lane Thomas,53.84,14.90196078431373,-11.650485436893206,10.39647577092511,6.434782608695648,-5.0,,68.9
OAK,Carlos Perez,0.8499999999999996,5.490196078431378,-10.87378640776699,-3.876651982378849,-1.2173913043478368,59.0,1.389,68.6
SD,F. Tatis Jr.,45.58,13.333333333333336,-10.485436893203882,-5.991189427312771,1.7391304347826004,43.0,0.783,68.3
TEX,Adolis Garcia,17.040000000000003,2.352941176470601,-4.271844660194168,13.568281938325994,1.0434782608695565,52.0,0.835,68.2
NYY,F. Cordero,38.36,-2.3529411764705794,-8.15533980582524,35.418502202643175,-6.434782608695658,11.0,,67.8
SEA,Tom Murphy,13.799999999999999,1.088453945710938e-14,4.660194174757286,9.162995594713655,12.869565217391306,15.0,1.146,67.4
TOR,Ernie Clement,13.799999999999999,5.490196078431378,-19.41747572815534,-9.339207048458148,-1.5652173913043492,59.0,0.97,67.1
CHW,Eloy Jimenez,13.799999999999999,3.1372549019607874,-15.533980582524277,-5.814977973568277,-5.3913043478260825,58.0,0.7130000000000001,66.6
TB,Wander Franco,21.160000000000004,3.9215686274509842,-13.203883495145632,-0.8810572687224678,4.347826086956515,51.0,,66.3
PIT,A. McCutchen,13.799999999999999,4.705882352941181,7.3786407766990365,-5.1101321585903134,14.260869565217394,23.0,1.978,66.1
SEA,Jarred Kelenic,13.799999999999999,6.274509803921575,4.271844660194179,16.38766519823789,13.913043478260873,11.0,0.748,65.2
OAK,Zack Gelof,18.0,3.9215686274509842,0.38834951456311795,7.224669603524226,9.565217391304346,10.0,1.328,65.2
CHC,Jared Young,30.66,-4.70588235294117,-15.922330097087372,29.251101321585903,1.7391304347826004,23.0,,64.0
LAA,Shohei Ohtani,25.9,0.7843137254902077,-5.825242718446598,20.26431718061673,2.7826086956521667,51.0,0.664,63.0
MIA,Luis Arraez,28.889999999999997,4.705882352941181,-18.640776699029125,-0.3524229074889871,9.73913043478261,43.0,0.935,63.0
CHC,Edwin Rios,26.28,-1.568627450980383,-19.805825242718434,20.9691629955947,11.999999999999982,25.0,,62.9
PHI,Brandon Marsh,13.799999999999999,8.627450980392165,6.601941747572822,14.096916299559474,6.0869565217391255,10.0,1.054,62.4
TEX,Jonah Heim,14.540000000000003,2.352941176470601,1.1650485436893214,-2.8193832599118966,3.478260869565211,53.0,0.861,61.7
NYM,Jeff McNeil,13.799999999999999,14.90196078431373,-7.378640776699026,-16.563876651982383,8.173913043478258,49.0,0.882,61.0
BAL,Aaron Hicks,13.799999999999999,-2.3529411764705794,10.097087378640778,-10.39647577092511,-11.652173913043478,21.0,1.403,60.6
WAS,Dominic Smith,19.559999999999995,17.25490196078432,-20.582524271844658,-1.4096916299559483,8.695652173913041,36.0,,59.5
TOR,Cavan Biggio,13.799999999999999,0.7843137254902077,1.5533980582524396,12.687224669603527,1.3913043478260785,36.0,1.111,58.7
ATL,Sean Murphy,23.25,5.490196078431378,5.048543689320393,-7.753303964757707,7.999999999999997,19.0,1.097,58.2
PIT,Miguel Andujar,13.799999999999999,7.058823529411772,-12.815533980582527,-14.625550660792957,2.956521739130428,53.0,1.407,56.6
ATL,M. Harris II,16.72,10.196078431372548,-13.592233009708742,-12.158590308370044,-2.434782608695654,53.0,1.0899999999999999,56.4
NYM,F. Lindor,13.799999999999999,6.274509803921575,7.7669902912621325,-8.810572687224669,10.08695652173913,15.0,1.037,56.4
ATL,Marcell Ozuna,4.579999999999998,10.980392156862745,3.106796116504868,-7.40088105726872,-1.217391304347827,42.0,1.077,56.1
PHI,Josh Harrison,13.799999999999999,6.274509803921575,-12.038834951456312,0.5286343612334806,0.8695652173913051,43.0,0.514,56.1
SEA,D. Canzone,13.799999999999999,2.3529411764705905,-14.757281553398052,5.46255506607929,13.217391304347828,26.0,0.886,54.3
TOR,S. Espinal,13.799999999999999,4.705882352941181,-11.262135922330097,-5.286343612334797,0.521739130434783,28.0,1.149,53.2
ATL,Austin Riley,7.280000000000003,7.058823529411772,1.0778864316749093e-14,0.7048458149779742,-0.5217391304347928,32.0,1.142,53.1
SD,Juan Soto,19.209999999999997,8.627450980392165,3.1067961165048574,-11.27753303964758,0.8695652173913051,34.0,0.961,52.4
NYM,D. Vogelbach,13.799999999999999,3.137254901960798,15.922330097087382,1.4096916299559483,-2.434782608695654,32.0,0.806,51.6
TOR,Alejandro Kirk,13.799999999999999,3.1372549019607874,-3.1067961165048468,-3.171806167400884,-2.6086956521739157,33.0,0.997,51.6
TEX,Nathaniel Lowe,20.05,3.9215686274509842,5.825242718446607,-5.286343612334797,7.652173913043476,19.0,,51.2
SD,Rougned Odor,11.850000000000001,12.549019607843139,-6.213592233009705,-12.33480176211454,16.347826086956527,29.0,,51.2
WAS,Luis Garcia,36.92,11.764705882352942,-26.019417475728147,-8.281938325991186,4.521739130434777,32.0,,50.9
SEA,T. Trammell,13.799999999999999,-4.70588235294117,7.766990291262144,27.665198237885463,-1.2173913043478368,10.0,1.146,50.2
CHC,Matt Mervis,40.14,4.705882352941181,-17.087378640776695,10.044052863436121,2.2608695652173836,10.0,,50.1
CHC,Nick Madrigal,47.11,7.8431372549019684,-28.34951456310679,-25.022026431718064,-1.0434782608695758,64.0,0.764,49.3
TOR,Daulton Varsho,13.799999999999999,0.7843137254902077,6.601941747572822,12.687224669603527,-2.6086956521739157,45.0,0.651,47.9
STL,Tyler O'Neill,-6.859999999999999,1.5686274509804046,-0.3883495145630964,3.5242290748898615,1.3913043478260785,32.0,1.533,47.9
SD,Gary Sanchez,42.55,7.8431372549019684,-4.271844660194168,-3.171806167400874,-5.565217391304344,21.0,0.8140000000000001,47.5
TB,Yandy Diaz,16.13,-2.3529411764705794,-6.601941747572813,-0.17621145374449354,1.0434782608695565,33.0,1.1480000000000001,47.1
STL,Lars Nootbaar,28.4,-3.1372549019607767,12.038834951456312,-6.343612334801768,1.0434782608695565,19.0,0.924,47.1
PHI,Kyle Schwarber,13.799999999999999,-7.058823529411761,42.330097087378654,15.330396475770932,-1.3913043478260978,-22.0,1.605,46.5
SD,Ji-Man Choi,4.75,3.9215686274509842,6.99029126213593,3.171806167400874,6.260869565217387,21.0,,46.1
ATL,Austin Riley,17.15,5.490196078431378,-8.543689320388347,-0.8810572687224678,-1.0434782608695758,27.0,1.142,44.7
BAL,Joey Ortiz,13.799999999999999,-7.058823529411761,-14.368932038834956,7.40088105726872,-2.086956521739142,33.0,1.0939999999999999,44.3
HOU,Jose Abreu,13.799999999999999,11.764705882352942,0.0,7.40088105726872,0.6956521739130441,10.0,1.26,43.7
NYM,F. Alvarez,13.799999999999999,3.137254901960798,3.1067961165048574,5.46255506607929,-5.565217391304344,41.0,1.205,42.4
OAK,Ryan Noda,-7.619999999999999,0.7843137254902077,6.601941747572822,10.748898678414097,3.1304347826086887,28.0,1.012,42.1
COL,Nolan Jones,13.799999999999999,2.352941176470601,-5.0485436893203826,10.220264317180616,6.782608695652169,25.0,1.175,39.7
TOR,Matt Chapman,13.799999999999999,0.7843137254902077,6.99029126213593,21.145374449339215,-4.521739130434777,0.0,1.193,39.2
LAA,Mike Trout,9.18,1.5686274509804046,-7.7669902912621325,26.431718061674005,8.52173913043478,1.0,,38.9
OAK,Conner Capel,0.7999999999999999,-3.9215686274509736,4.271844660194179,3.7004405286343642,10.956521739130435,23.0,,38.8
SEA,Cade Marlowe,13.799999999999999,-1.568627450980383,4.271844660194179,32.77533039647577,2.434782608695645,3.0,1.264,38.8
STL,W. Contreras,-1.350000000000002,1.088453945710938e-14,7.7669902912621325,-0.8810572687224776,4.521739130434777,15.0,1.528,38.3
BAL,Colton Cowser,13.799999999999999,-1.568627450980383,-0.7766990291262036,4.229074889867836,-1.73913043478262,26.0,0.955,38.1
SEA,Sam Haggerty,13.799999999999999,2.3529411764705905,-9.320388349514563,7.577092511013213,15.478260869565203,11.0,1.064,38.0
TOR,Tyler Heineman,13.799999999999999,1.088453945710938e-14,-11.650485436893206,2.4669603524229,6.260869565217387,32.0,0.664,37.5
ATL,Sean Murphy,-13.090000000000003,7.058823529411772,13.592233009708742,-6.167400881057264,8.52173913043478,24.0,1.097,37.2
ATL,Eddie Rosario,1.9700000000000006,4.705882352941181,-10.87378640776699,-3.3480176211453774,2.6086956521739055,33.0,1.313,36.8
STL,Nolan Arenado,6.770000000000001,3.137254901960798,-2.330097087378632,-13.568281938325994,-2.956521739130447,48.0,0.9410000000000001,36.7
BAL,R. Mountcastle,13.799999999999999,0.7843137254901968,-12.815533980582527,-11.27753303964758,0.5217391304347734,41.0,0.745,36.2
PHI,Bryson Stott,13.799999999999999,12.549019607843139,1.0778864316749093e-14,0.5286343612334806,2.086956521739123,18.0,1.073,36.0
HOU,Alex Bregman,13.799999999999999,11.764705882352942,7.378640776699026,-5.1101321585903134,4.347826086956515,-17.0,1.267,34.7
CHC,Trey Mancini,23.439999999999998,1.5686274509804046,-18.640776699029125,5.814977973568277,-0.5217391304347928,23.0,,34.7
STL,Jordan Walker,-2.9800000000000013,-0.784313725490186,-5.825242718446598,1.4096916299559386,1.5652173913043397,33.0,1.312,34.6
BAL,Cedric Mullins,13.799999999999999,-0.784313725490186,-3.1067961165048468,-13.392070484581502,-12.347826086956523,45.0,0.955,34.5
LAA,Taylor Ward,22.180000000000003,3.921568627450995,-6.601941747572813,8.986784140969162,7.826086956521737,-2.0,,34.3
NYY,Billy McKinney,6.6000000000000005,3.1372549019607874,13.980582524271847,18.32599118942732,-1.0434782608695758,-7.0,,34.0
CHC,Patrick Wisdom,39.32,-1.568627450980383,-6.213592233009705,8.281938325991186,2.956521739130428,82.0,0.264,32.9
SEA,Dylan Moore,13.799999999999999,-3.9215686274509736,12.038834951456312,18.149779735682827,17.913043478260857,-2.0,0.736,32.9
ARI,Corbin Carroll,8.909999999999998,6.274509803921575,-7.378640776699026,-6.167400881057274,-0.521739130434783,24.0,1.296,32.6
MIA,Jesus Sanchez,-11.600000000000001,-1.568627450980383,6.2135922330097255,23.7885462555066,-3.1304347826086985,10.0,1.37,32.5
PHI,N. Castellanos,13.799999999999999,9.411764705882362,-9.320388349514563,13.568281938325994,6.60869565217391,34.0,0.87,32.4
OAK,Jesus Aguilar,2.0200000000000014,1.088453945710938e-14,-1.1650485436893108,1.0572687224669612,-1.3913043478260883,31.0,,31.5
NYM,Omar Narvaez,13.799999999999999,10.196078431372559,6.213592233009705,-7.9295154185022,7.826086956521737,33.0,0.597,30.3
MIA,Jorge Soler,17.819999999999997,1.5686274509804046,-5.43689320388349,21.674008810572676,-3.304347826086959,7.0,0.764,30.0
PHI,Cristian Pache,13.799999999999999,-2.3529411764705794,-12.427184466019419,17.621145374449345,2.2608695652173836,9.0,0.9390000000000001,29.6
STL,P. Goldschmidt,-5.629999999999999,-0.784313725490186,5.436893203883501,6.167400881057264,7.130434782608692,16.0,1.041,29.5
SD,Nelson Cruz,12.0,13.333333333333336,-14.757281553398062,1.4096916299559386,8.52173913043478,8.0,,28.5
CHC,Eric Hosmer,28.7,2.352941176470601,-14.368932038834942,-8.281938325991186,-4.0000000000000036,24.0,,28.4
SF,Wilmer Flores,13.799999999999999,2.352941176470601,-1.5533980582524178,1.7621145374449356,1.9130434782608614,3.0,1.324,28.0
TEX,Ezequiel Duran,7.079999999999999,9.411764705882351,-13.592233009708742,4.757709251101316,7.826086956521737,19.0,0.81,27.9
CLE,Josh Naylor,-9.499999999999998,4.705882352941192,-20.194174757281555,-18.149779735682827,1.5652173913043397,68.0,1.053,27.8
NYY,Willie Calhoun,17.080000000000002,3.1372549019607874,-7.7669902912621325,-3.171806167400874,-0.6956521739130538,19.0,,27.6
LAD,David Peralta,13.799999999999999,3.9215686274509842,-14.757281553398052,1.5859030837004322,-1.5652173913043492,27.0,0.905,27.3
WAS,Jake Alu,9.479999999999999,15.686274509803926,-21.359223300970864,16.563876651982383,1.2173913043478175,5.0,,26.6
OAK,Brent Rooker,-2.749999999999999,-5.490196078431367,-0.7766990291262036,15.154185022026434,1.2173913043478175,28.0,0.747,26.4
SD,Luis Campusano,17.39,14.117647058823534,-19.805825242718445,-11.629955947136565,4.347826086956515,24.0,0.929,26.4
BAL,Jorge Mateo,13.799999999999999,3.9215686274509842,-1.5533980582524178,-7.753303964757707,-8.173913043478269,22.0,0.87,26.0
ARI,E. Rivera,-11.97,6.274509803921575,-7.7669902912621325,1.2334801762114451,9.73913043478261,33.0,0.847,25.8
