,Unnamed: 0,Team,Player,Opp,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score,Bases
218,218,PIT,Cruz,PHI,-64.69,-54.90196078,66.01941748,-218.5022026,-8.695652174,-89,0.264,0.92,-3.4,3.0
219,219,BAL,Mateo,BOS,-50.45,7.843137255,100.9708738,-227.3127753,-43.47826087,-70,1.13,1.06,-3.4,
220,220,MIN,Garlick,OAK,-5.53,23.52941176,-166.9902913,-209.69163,26.08695652,20,1.035,1.05,-3.3,
221,221,TEX,Carter,SEA,13.61,-54.90196078,-132.038835,-186.784141,67.82608696,22,1.44,0.83,-3.2,
222,222,OAK,Noda,MIN,-20.1,-94.11764706,-34.95145631,-281.938326,66.08695652,-8,0.791,1.05,-3.1,4.0
223,223,DET,Kelly,KC,-30.96,-54.90196078,100.9708738,-308.3700441,-48.69565217,-17,0.853,1.01,-3.1,
224,224,NYM,Vientos,MIA,-25.62,-15.68627451,159.223301,-260.7929515,-126.9565217,-55,1.078,0.89,-3.1,
225,225,TEX,Martinez,SEA,2.19,-125.4901961,236.8932039,-530.3964758,64.34782609,-27,0.978,0.83,-3.1,5.0
226,226,ARI,Walker,CHW,29.77,-31.37254902,-244.6601942,-42.2907489,-12.17391304,26,1.111,1.01,-3.1,
227,227,ARI,Zavala,CHW,-26.41,-54.90196078,-182.5242718,-271.3656388,34.7826087,-20,0.597,1.01,-3.1,
228,228,ARI,Herrera,CHW,-1.23,-62.74509804,-233.0097087,-72.24669604,73.04347826,-15,0.791,1.01,-3.1,
229,229,OAK,Rooker,MIN,-3.1,-54.90196078,0.0,-227.3127753,52.17391304,7,1.264,1.05,-3.0,
230,230,NYM,Stewart,MIA,-23.68,-62.74509804,-54.36893204,-259.030837,-34.7826087,-13,0.741,0.89,-3.0,
231,231,BOS,Abreu,BAL,-7.23,7.843137255,-124.2718447,-121.5859031,55.65217391,-24,1.313,1.06,-3.0,
232,232,ATL,Hilliard,CHC,-0.16,-94.11764706,-34.95145631,-204.4052863,13.91304348,4,1.393,0.94,-3.0,
233,233,STL,Motter,MIL,-79.18,-39.21568627,128.1553398,-241.4096916,-34.7826087,-61,0.973,0.9,-2.9,
234,234,BAL,Vavra,BOS,-44.83,-86.2745098,163.1067961,-297.7973568,22.60869565,-27,0.993,1.06,-2.9,
235,235,STL,Winn,MIL,-69.56,-31.37254902,93.2038835,-206.1674009,-102.6086957,-55,0.855,0.9,-2.9,
236,236,PIT,McCutchen,PHI,-65.45,-23.52941176,-54.36893204,-149.7797357,59.13043478,-85,1.431,0.92,-2.9,
237,237,BAL,Hays,BOS,-30.93,-47.05882353,120.3883495,-285.4625551,-53.91304348,0,0.875,1.06,-2.8,
238,238,CHC,Morel,ATL,20.61,-39.21568627,-19.41747573,-146.2555066,-104.3478261,-13,0.986,0.94,-2.8,
239,239,DET,Lipcius,KC,-14.83,1.09e-13,19.41747573,-294.2731278,-27.82608696,-26,0.8,1.01,-2.8,2.0
240,240,STL,Baker,MIL,-67.45,-7.843137255,7.766990291,-264.3171806,57.39130435,-30,0.985,0.9,-2.7,
241,241,STL,Palacios,MIL,-64.46,-31.37254902,-31.06796117,-77.53303965,-69.56521739,-39,0.973,0.9,-2.7,
242,242,ARI,Perdomo,CHW,-11.01,-23.52941176,-283.4951456,1.762114537,8.695652174,-9,0.853,1.01,-2.7,
243,243,MIA,Garcia,NYM,8.57,-62.74509804,7.766990291,-222.0264317,-57.39130435,24,0.921,0.89,-2.7,4.0
244,244,MIN,Polanco,OAK,5.61,7.843137255,-275.7281553,-96.91629956,95.65217391,6,0.986,1.05,-2.7,
245,245,DET,Torkelson,KC,3.55,-15.68627451,-42.7184466,-239.6475771,-20.86956522,34,0.911,1.01,-2.6,4.0
246,246,NYM,Mendick,MIA,-34.08,1.09e-13,11.65048544,-162.1145374,-36.52173913,-73,1.502,0.89,-2.6,
247,247,OAK,Soderstrom,MIN,-24.02,-70.58823529,163.1067961,-329.5154185,-48.69565217,-36,0.715,1.05,-2.6,
248,248,DET,Baez,KC,-14.11,7.843137255,66.01941748,-241.4096916,-48.69565217,-7,1.025,1.01,-2.5,
249,249,STL,Goldschmidt,MIL,-56.15,-31.37254902,-15.53398058,-199.1189427,57.39130435,-46,0.946,0.9,-2.5,
250,250,BAL,Henderson,BOS,-2.64,-54.90196078,120.3883495,-260.7929515,-3.47826087,-21,1.061,1.06,-2.5,
251,251,TEX,Huff,SEA,17.25,-15.68627451,229.1262136,-324.2290749,0.0,-11,2.764,0.83,-2.4,
252,252,BOS,Dalbec,BAL,-22.23,-15.68627451,-42.7184466,-239.6475771,111.3043478,-1,1.09,1.06,-2.4,
253,253,BAL,Mullins,BOS,-46.75,-47.05882353,104.8543689,-190.30837,-78.26086957,-44,0.746,1.06,-2.4,
254,254,PHI,Castro,PIT,-38.54,-109.8039216,-46.60194175,-112.7753304,-92.17391304,-79,0.55,0.92,-2.4,1.0
255,255,DET,Vierling,KC,-4.41,-23.52941176,-23.30097087,-181.4977974,-22.60869565,-24,0.821,1.01,-2.3,4.0
256,256,NYY,Bauers,TOR,18.24,-47.05882353,-112.6213592,-192.0704846,62.60869565,27,0.835,1.11,-2.3,
257,257,BAL,Urias,BOS,-47.48,-15.68627451,163.1067961,-236.123348,-45.2173913,-60,0.905,1.06,-2.3,
258,258,MIA,Sanchez,NYM,18.93,-15.68627451,-170.8737864,-156.8281938,8.695652174,21,0.874,0.89,-2.3,
259,259,TEX,Leon,SEA,-15.53,-62.74509804,77.66990291,-259.030837,33.04347826,-56,2.764,0.83,-2.3,
260,260,MIN,Stevenson,OAK,-9.19,7.843137255,3.883495146,-149.7797357,-59.13043478,-9,0.955,1.05,-2.2,
261,261,BAL,Santander,BOS,-29.3,7.843137255,58.25242718,-195.5947137,-33.04347826,-59,0.834,1.06,-2.2,4.0
262,262,CHC,Rios,ATL,-4.8,-39.21568627,58.25242718,-260.7929515,50.43478261,-38,0.891,0.94,-2.2,
263,263,NYY,Judge,TOR,48.42,-39.21568627,-143.6893204,-139.2070485,74.7826087,88,1.692,1.11,-2.1,
264,264,NYM,Nido,MIA,-40.09,-23.52941176,264.0776699,-327.753304,-46.95652174,-61,1.076,0.89,-2.1,
265,265,PIT,Davis,PHI,-78.26,-15.68627451,116.5048544,-162.1145374,8.695652174,-77,1.083,0.92,-2.1,
266,266,ARI,Smith,CHW,14.81,-39.21568627,-248.5436893,1.762114537,36.52173913,25,1.034,1.01,-2.1,
267,267,ARI,Fletcher,CHW,-5.84,-7.843137255,-89.32038835,-144.4933921,22.60869565,16,1.135,1.01,-2.1,
268,268,ARI,Marte,CHW,38.96,-7.843137255,-322.3300971,33.48017621,45.2173913,52,1.278,1.01,-2.1,
269,269,NYY,Florial,TOR,12.08,-86.2745098,7.766990291,-188.5462555,69.56521739,5,1.008,1.11,-2.0,
270,270,NYM,Alonso,MIA,1.02,-15.68627451,-15.53398058,-174.4493392,-43.47826087,5,0.926,0.89,-2.0,
271,271,ARI,Peterson,CHW,-11.3,-31.37254902,-229.1262136,-75.77092511,69.56521739,-5,0.684,1.01,-2.0,
272,272,PIT,Reynolds,PHI,-52.25,-39.21568627,58.25242718,-167.4008811,48.69565217,-42,1.139,0.92,-2.0,
273,273,KC,Thompson,DET,-37.06,-70.58823529,229.1262136,-259.030837,-24.34782609,-36,0.839,1.01,-2.0,
274,274,DET,Schoop,KC,-22.52,-31.37254902,66.01941748,-202.6431718,33.04347826,-29,0.853,1.01,-1.9,
275,275,PIT,Peguero,PHI,-83.12,-54.90196078,209.7087379,-236.123348,-73.04347826,-89,0.646,0.92,-1.9,
276,276,NYM,Alvarez,MIA,-17.21,7.843137255,50.48543689,-197.3568282,-113.0434783,-65,0.641,0.89,-1.9,
277,277,OAK,Butler,MIN,-12.32,-31.37254902,66.01941748,-200.8810573,-53.91304348,2,0.787,1.05,-1.9,
278,278,MIA,Edwards,NYM,7.61,-47.05882353,58.25242718,-130.3964758,-86.95652174,-7,1.024,0.89,-1.9,
279,279,OAK,Capel,MIN,-17.85,-101.9607843,34.95145631,-155.0660793,100.8695652,-30,0.914,1.05,-1.8,
280,280,OAK,Aguilar,MIN,-29.19,-39.21568627,69.90291262,-95.15418502,-31.30434783,-43,1.191,1.05,-1.8,
281,281,STL,Herrera,MIL,-65.31,-47.05882353,66.01941748,-243.1718062,10.43478261,-57,0.586,0.9,-1.8,
282,282,OAK,Langeliers,MIN,-5.86,-70.58823529,46.60194175,-140.969163,-22.60869565,11,0.932,1.05,-1.8,
283,283,OAK,Bride,MIN,-19.13,-31.37254902,-85.4368932,-42.2907489,46.95652174,-40,0.264,1.05,-1.8,
284,284,ARI,Moreno,CHW,3.09,-15.68627451,-221.3592233,-12.33480176,64.34782609,16,1.059,1.01,-1.8,
285,285,PIT,Delay,PHI,-73.79,-31.37254902,89.32038835,-130.3964758,31.30434783,-98,0.905,0.92,-1.8,
286,286,MIA,Stallings,NYM,0.46,1.09e-13,-116.5048544,-89.86784141,-90.43478261,10,0.678,0.89,-1.7,
287,287,CHW,Frazier,ARI,14.14,-54.90196078,-50.48543689,-33.48017621,-59.13043478,19,0.745,1.01,-1.7,
288,288,MIN,Jeffers,OAK,-5.99,54.90196078,-108.7378641,-123.3480176,60.86956522,-2,1.322,1.05,-1.7,
289,289,MIA,Bell,NYM,27.52,-7.843137255,-143.6893204,-75.77092511,-36.52173913,59,1.104,0.89,-1.7,
290,290,MIN,Luplow,OAK,-15.99,-15.68627451,-225.2427184,-125.1101322,-5.217391304,-22,0.389,1.05,-1.7,
291,291,BOS,Urias,BAL,-30.66,-7.843137255,-54.36893204,3.524229075,-67.82608696,-22,0.907,1.06,-1.7,
292,292,PHI,Marsh,PIT,-21.01,-7.843137255,-155.3398058,-54.62555066,34.7826087,2,0.917,0.92,-1.7,
293,293,NYY,Dominguez,TOR,7.54,-94.11764706,198.0582524,-371.8061674,60.86956522,45,0.864,1.11,-1.7,
294,294,LAD,Busch,COL,4.11,39.21568627,15.53398058,-139.2070485,-33.04347826,-17,1.023,1.31,-1.7,
295,295,TOR,Chapman,NYY,-28.36,23.52941176,-27.18446602,-140.969163,41.73913043,-67,0.776,1.11,-1.7,4.0
296,296,CHC,Amaya,ATL,9.55,-23.52941176,-3.883495146,-109.2511013,-95.65217391,-7,0.764,0.94,-1.7,
297,297,SEA,Marlowe,TEX,17.8,-7.843137255,112.6213592,-308.3700441,-26.08695652,20,0.964,0.83,-1.6,
298,298,DET,Carpenter,KC,3.33,-15.68627451,112.6213592,-253.7444934,15.65217391,-33,0.867,1.01,-1.5,
299,299,PHI,Stubbs,PIT,-27.87,-47.05882353,-81.55339806,49.33920705,-80.0,-38,0.719,0.92,-1.5,
300,300,PHI,Clemens,PIT,-21.64,-31.37254902,-97.08737864,75.77092511,-57.39130435,-34,1.066,0.92,-1.5,
301,301,STL,Carlson,MIL,-78.99,7.843137255,42.7184466,-77.53303965,13.91304348,-77,0.832,0.9,-1.5,
302,302,STL,Knizner,MIL,-36.96,-39.21568627,174.7572816,-218.5022026,-46.95652174,-29,0.832,0.9,-1.5,
303,303,SEA,Trammell,TEX,28.57,-31.37254902,97.08737864,-262.5550661,-48.69565217,35,0.799,0.83,-1.5,
304,304,STL,Mercado,MIL,-64.6,-78.43137255,104.8543689,-160.3524229,74.7826087,-46,0.731,0.9,-1.5,
305,305,DET,McKinstry,KC,-8.59,7.843137255,-42.7184466,-190.30837,52.17391304,-23,0.719,1.01,-1.5,
306,306,NYM,Ortega,MIA,-46.59,23.52941176,-1.08e-13,-95.15418502,-40.0,-20,0.916,0.89,-1.5,
307,307,NYM,Nimmo,MIA,-13.03,70.58823529,-108.7378641,-84.5814978,5.217391304,-15,1.185,0.89,-1.5,
308,308,MIL,Perkins,STL,18.4,-54.90196078,-81.55339806,31.71806167,-88.69565217,40,1.172,0.9,-1.4,
309,309,PHI,Rojas,PIT,-32.92,-70.58823529,93.2038835,-63.43612335,-40.0,-28,1.066,0.92,-1.4,
310,310,MIA,Hampson,NYM,4.46,-47.05882353,-73.78640777,-146.2555066,64.34782609,25,0.931,0.89,-1.4,
311,311,TEX,Grossman,SEA,12.72,7.843137255,-124.2718447,-31.71806167,22.60869565,-31,1.173,0.83,-1.4,
312,312,STL,Fermin,MIL,-61.05,-39.21568627,143.6893204,-273.1277533,118.2608696,-61,0.892,0.9,-1.4,
313,313,TEX,Miller,SEA,-6.15,-62.74509804,128.1553398,-160.3524229,-12.17391304,-50,1.014,0.83,-1.4,
314,314,BAL,Rutschman,BOS,-5.7,-23.52941176,-27.18446602,-114.5374449,64.34782609,8,1.241,1.06,-1.3,
315,315,BOS,Alfaro,BAL,-28.95,-15.68627451,135.9223301,-163.876652,-34.7826087,-13,1.649,1.06,-1.3,
316,316,ARI,Longoria,CHW,8.58,-23.52941176,-132.038835,-153.3039648,20.86956522,36,0.546,1.01,-1.3,
317,317,NYM,Baty,MIA,-22.57,31.37254902,104.8543689,-229.0748899,10.43478261,-33,1.031,0.89,-1.3,
318,318,ARI,Pham,CHW,34.66,-47.05882353,-260.1941748,-21.14537445,109.5652174,35,0.839,1.01,-1.3,
319,319,KC,Eaton,DET,-39.02,-86.2745098,174.7572816,-185.0220264,53.91304348,-46,1.195,1.01,-1.3,
320,320,KC,Dozier,DET,-31.81,-39.21568627,124.2718447,-142.7312775,10.43478261,-44,0.867,1.01,-1.2,
321,321,KC,Melendez,DET,-18.13,7.843137255,-50.48543689,-132.1585903,76.52173913,-9,0.969,1.01,-1.2,2.0
322,322,MIA,Burger,NYM,37.41,1.09e-13,-38.83495146,-155.0660793,-12.17391304,64,1.326,0.89,-1.2,
323,323,PIT,Gonzales,PHI,-81.16,-39.21568627,159.223301,-345.3744493,-76.52173913,-104,0.264,0.92,-1.2,
324,324,CHC,Mancini,ATL,-10.18,7.843137255,50.48543689,-102.2026432,-48.69565217,-26,1.251,0.94,-1.2,
325,325,PHI,Cave,PIT,-26.22,-7.843137255,-143.6893204,3.524229075,-13.91304348,-32,0.586,0.92,-1.2,
326,326,BOS,Valdez,BAL,-9.0,23.52941176,-19.41747573,-61.67400881,15.65217391,-18,1.649,1.06,-1.2,
